EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,Education,Department,JobRole,JobLevel,Attrition,BusinessTravel,DistanceFromHome,OverTime,WorkLifeBalance,HourlyRate,DailyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear
56,27,Male,Single,3,Life Sciences,3,Sales,Sales Executive,3,No,Travel_Frequently,8,No,3,37,994,2975,8726,15,0,4,3,3,4,3,9,9,8,1,7,1,0
57,30,Female,Single,2,Medical,2,Research & Development,Laboratory Technician,2,No,Travel_Frequently,1,No,3,58,721,10781,4011,23,0,3,3,4,4,4,12,12,8,3,7,1,2
58,41,Female,Married,3,Technical Degree,3,Research & Development,Research Director,5,Yes,Travel_Rarely,12,No,3,49,1360,16280,19545,12,0,2,3,3,4,3,23,22,15,15,8,1,0
60,34,Male,Single,4,Marketing,4,Sales,Sales Executive,2,No,Non-Travel,23,No,3,72,1065,10034,4568,20,0,2,3,3,3,4,10,9,5,8,7,0,2
61,37,Male,Married,2,Life Sciences,2,Research & Development,Research Scientist,1,No,Travel_Rarely,19,No,3,73,408,10227,3022,21,0,2,3,2,1,4,8,1,0,0,0,4,1
62,46,Male,Single,4,Marketing,4,Sales,Sales Executive,2,No,Travel_Frequently,5,Yes,3,98,1211,20445,5772,21,0,1,3,4,3,4,14,9,6,0,8,4,4
63,35,Male,Married,1,Life Sciences,1,Research & Development,Laboratory Technician,1,No,Travel_Rarely,8,No,3,36,1229,4892,2269,19,0,4,4,4,4,3,1,1,0,0,1,1,2
64,48,Male,Single,2,Life Sciences,2,Research & Development,Laboratory Technician,3,Yes,Travel_Rarely,1,Yes,3,98,626,19294,5381,13,0,1,2,3,4,3,23,1,0,0,0,9,2
65,28,Male,Single,4,Technical Degree,4,Research & Development,Laboratory Technician,1,Yes,Travel_Rarely,5,Yes,2,50,1434,11179,3441,13,0,3,3,3,3,3,2,2,2,2,2,1,3
68,44,Female,Divorced,5,Marketing,5,Sales,Sales Executive,2,No,Travel_Rarely,1,Yes,2,75,1488,4009,5454,21,1,2,3,1,3,4,9,4,3,1,3,5,2
70,35,Male,Married,2,Medical,2,Research & Development,Healthcare Representative,3,No,Non-Travel,11,Yes,3,79,1097,8302,9884,13,1,3,2,1,3,3,10,4,0,2,3,2,3
72,26,Female,Married,3,Marketing,3,Sales,Sales Executive,2,No,Travel_Rarely,23,Yes,2,47,1443,21436,4157,19,1,3,2,4,3,3,5,2,2,0,0,7,2
73,33,Female,Single,2,Life Sciences,2,Research & Development,Research Director,3,No,Travel_Frequently,1,Yes,3,98,515,15146,13458,12,0,1,3,4,3,3,15,15,14,8,12,1,1
74,35,Male,Married,5,Life Sciences,5,Sales,Sales Executive,3,No,Travel_Frequently,18,No,2,71,853,11031,9069,22,1,2,3,1,4,4,9,9,8,1,8,1,3
75,35,Female,Married,4,Medical,4,Research & Development,Laboratory Technician,1,No,Travel_Rarely,23,Yes,3,30,1142,16002,4014,15,1,3,3,1,3,3,4,2,2,2,2,3,3
76,31,Male,Divorced,4,Life Sciences,4,Research & Development,Laboratory Technician,2,No,Travel_Rarely,7,No,2,48,655,9528,5915,22,1,4,3,4,4,4,10,7,7,1,7,3,3
77,37,Male,Divorced,4,Life Sciences,4,Research & Development,Manufacturing Director,2,No,Travel_Rarely,1,No,4,51,1115,2689,5993,18,1,1,2,3,3,3,7,7,5,0,7,1,2
78,32,Male,Married,3,Medical,3,Research & Development,Manufacturing Director,2,No,Travel_Rarely,1,Yes,3,33,427,10877,6162,22,1,1,3,4,2,4,9,9,8,7,8,1,3
79,38,Female,Single,5,Life Sciences,5,Research & Development,Laboratory Technician,2,No,Travel_Frequently,29,No,3,50,653,5456,2406,11,0,4,3,4,4,3,10,10,3,9,9,1,2
80,50,Female,Divorced,2,Medical,2,Research & Development,Research Director,5,No,Travel_Rarely,7,Yes,2,43,989,16701,18740,12,1,2,2,3,4,3,29,27,3,13,8,5,2
81,59,Female,Single,3,Life Sciences,3,Sales,Sales Executive,3,No,Travel_Rarely,25,No,2,99,1435,2354,7637,11,0,1,3,1,4,3,28,21,16,7,9,7,3
83,36,Female,Divorced,3,Technical Degree,3,Research & Development,Healthcare Representative,3,No,Travel_Rarely,8,No,3,59,1223,8202,10096,13,3,3,3,3,2,3,17,17,14,12,8,1,2
84,55,Female,Divorced,3,Medical,3,Research & Development,Manager,4,No,Travel_Rarely,8,Yes,3,33,836,19730,14756,14,3,4,3,3,3,3,21,5,0,0,2,2,2
85,36,Male,Single,3,Life Sciences,3,Research & Development,Manufacturing Director,2,No,Travel_Frequently,11,No,3,95,1195,22656,6499,13,0,2,2,2,3,3,6,6,5,0,3,1,3
86,45,Male,Divorced,3,Life Sciences,3,Research & Development,Research Scientist,3,No,Travel_Rarely,7,No,3,59,1339,18787,9724,17,1,2,3,1,3,3,25,1,0,0,0,2,2
88,35,Male,Married,3,Medical,3,Research & Development,Research Scientist,1,No,Travel_Frequently,1,No,2,79,664,5868,2194,13,1,2,3,1,4,3,5,3,2,1,2,4,2
90,36,Male,Married,3,Medical,3,Research & Development,Research Scientist,1,Yes,Travel_Rarely,9,Yes,2,79,318,21777,3388,17,1,4,2,3,1,3,2,1,0,0,0,0,0
91,59,Female,Single,1,Life Sciences,1,Sales,Sales Executive,2,No,Travel_Frequently,1,No,2,57,1225,24668,5473,11,0,1,2,3,4,3,20,4,3,1,3,7,2
94,29,Male,Married,3,Life Sciences,3,Research & Development,Research Scientist,1,No,Travel_Rarely,2,No,3,76,1328,4956,2703,23,1,3,3,2,4,4,6,5,4,0,4,0,3
95,31,Male,Single,4,Medical,4,Research & Development,Research Scientist,1,No,Travel_Rarely,1,No,3,87,1082,18775,2501,17,0,3,3,2,2,3,1,1,1,1,0,1,4
96,32,Male,Married,3,Life Sciences,3,Research & Development,Research Scientist,2,No,Travel_Rarely,1,No,3,66,548,7346,6220,17,2,2,3,2,2,3,10,10,4,0,9,1,3
97,36,Female,Married,3,Life Sciences,3,Research & Development,Laboratory Technician,1,No,Travel_Rarely,6,No,3,55,132,22002,3038,12,0,2,4,4,2,3,5,1,0,0,0,3,3
98,31,Female,Single,4,Life Sciences,4,Research & Development,Manufacturing Director,2,No,Travel_Rarely,8,No,3,61,746,20682,4424,23,0,3,3,4,4,4,11,11,7,1,8,1,2
100,35,Male,Single,4,Marketing,4,Sales,Sales Executive,2,No,Travel_Rarely,1,No,3,32,776,23016,4312,14,0,3,2,1,2,3,16,15,13,2,8,0,2
101,45,Male,Married,4,Other,4,Research & Development,Research Director,3,No,Travel_Rarely,6,Yes,4,52,193,15067,13245,14,0,4,3,1,2,3,17,0,0,0,0,4,3
102,37,Male,Single,4,Medical,4,Research & Development,Research Director,3,No,Travel_Rarely,7,No,4,30,397,25258,13664,13,0,1,3,3,1,3,16,5,2,0,2,4,3
103,46,Male,Divorced,2,Medical,2,Human Resources,Human Resources,2,No,Travel_Rarely,5,Yes,3,80,945,10425,5021,22,1,2,3,2,4,4,16,4,2,0,2,8,2
104,30,Male,Married,1,Life Sciences,1,Research & Development,Laboratory Technician,2,No,Travel_Rarely,1,Yes,2,55,852,15998,5126,12,2,4,2,4,3,3,10,10,8,3,0,1,1
105,35,Male,Single,3,Medical,3,Research & Development,Research Scientist,1,No,Travel_Rarely,1,No,3,30,1214,26278,2859,18,0,2,2,3,1,3,6,6,4,0,4,1,3
106,55,Male,Married,2,Life Sciences,2,Sales,Sales Executive,3,No,Travel_Rarely,1,No,3,70,111,18092,10239,14,1,1,3,4,4,3,24,1,0,1,0,3,4
107,38,Female,Divorced,3,Medical,3,Research & Development,Research Scientist,2,No,Non-Travel,6,Yes,3,79,573,15717,5329,12,3,2,1,4,4,3,17,13,11,1,9,7,3
110,34,Male,Married,2,Medical,2,Research & Development,Manufacturing Director,2,No,Travel_Rarely,1,No,3,94,1153,17736,4325,15,0,1,3,2,3,3,5,5,2,1,3,1,2
112,56,Male,Single,3,Life Sciences,3,Research & Development,Manufacturing Director,3,No,Travel_Rarely,7,No,2,49,1400,21698,7260,11,0,4,1,4,1,3,37,6,4,0,2,4,3
113,23,Male,Divorced,1,Technical Degree,1,Sales,Sales Representative,1,No,Travel_Rarely,2,No,3,62,541,9518,2322,13,1,3,3,1,3,3,3,0,0,0,0,3,3
116,51,Male,Married,4,Life Sciences,4,Research & Development,Laboratory Technician,1,No,Travel_Rarely,9,No,3,96,432,18725,2075,23,2,4,3,4,2,4,10,4,2,0,3,3,4
117,30,Male,Married,3,Life Sciences,3,Research & Development,Healthcare Representative,2,No,Travel_Rarely,2,No,3,99,288,15830,4152,19,3,3,2,4,1,3,11,11,10,10,8,1,3
118,46,Male,Single,2,Medical,2,Sales,Sales Executive,3,Yes,Travel_Rarely,9,No,3,64,669,13596,9619,16,0,3,2,4,4,3,9,9,8,4,7,1,3
119,40,Male,Married,4,Life Sciences,4,Research & Development,Healthcare Representative,4,No,Travel_Frequently,1,No,2,78,530,14115,13503,22,1,3,2,2,4,4,22,22,3,11,11,1,3
120,51,Male,Single,4,Marketing,4,Sales,Sales Executive,2,No,Travel_Rarely,21,Yes,1,71,632,8423,5441,22,0,3,3,4,4,4,11,10,7,1,0,0,2
121,30,Female,Divorced,2,Medical,2,Sales,Sales Executive,2,No,Travel_Rarely,4,Yes,2,63,1334,19760,5209,12,3,3,2,2,2,3,11,11,8,2,7,1,4
124,46,Male,Married,3,Medical,3,Research & Development,Healthcare Representative,3,No,Travel_Frequently,1,Yes,2,40,638,3142,10673,13,1,3,2,1,3,3,21,10,9,9,5,2,5
125,32,Male,Single,4,Medical,4,Sales,Sales Executive,2,No,Travel_Rarely,6,No,3,87,1093,24301,5010,16,0,2,3,3,1,3,12,11,8,5,7,1,0
126,54,Female,Married,4,Technical Degree,4,Research & Development,Research Director,3,No,Travel_Rarely,2,No,1,60,1217,24001,13549,12,1,1,3,3,1,3,16,4,3,0,3,9,5
128,24,Female,Married,2,Other,2,Sales,Sales Executive,2,No,Travel_Rarely,3,No,2,33,1353,17519,4999,21,1,1,3,3,1,4,4,3,2,0,2,0,2
129,28,Male,Married,3,Medical,3,Sales,Sales Executive,2,No,Non-Travel,4,No,4,43,120,8863,4221,15,0,2,3,3,2,3,5,5,4,0,4,1,3
131,58,Male,Single,4,Medical,4,Sales,Sales Executive,4,No,Travel_Rarely,10,No,2,37,682,24409,13872,13,0,4,3,3,3,3,38,37,10,1,8,0,1
132,44,Male,Married,3,Medical,3,Research & Development,Laboratory Technician,2,No,Non-Travel,23,No,4,67,489,25043,2042,12,1,2,3,2,3,3,17,3,2,1,2,4,3
133,37,Male,Divorced,4,Human Resources,4,Human Resources,Human Resources,1,Yes,Travel_Rarely,6,Yes,3,63,807,23648,2073,22,0,3,3,1,4,4,7,3,2,0,2,4,3
134,32,Male,Single,1,Life Sciences,1,Research & Development,Research Scientist,1,No,Travel_Rarely,1,No,3,71,827,15178,2956,13,0,4,3,1,4,3,1,1,0,0,0,1,2
137,20,Female,Single,3,Life Sciences,3,Research & Development,Laboratory Technician,1,Yes,Travel_Frequently,6,Yes,3,66,871,19783,2926,18,0,4,2,4,2,3,1,1,0,1,0,1,5
138,34,Female,Single,4,Other,4,Research & Development,Research Scientist,2,No,Travel_Rarely,6,No,3,41,665,12482,4809,14,0,1,3,3,3,3,16,16,13,2,10,1,3
139,37,Male,Divorced,2,Life Sciences,2,Research & Development,Healthcare Representative,2,No,Non-Travel,2,No,4,100,1040,15850,5163,14,1,3,2,4,4,3,17,1,0,0,0,5,2
140,59,Female,Married,4,Human Resources,4,Human Resources,Manager,5,No,Non-Travel,2,No,3,32,1420,21922,18844,21,1,3,2,4,4,4,30,3,2,2,2,9,3
141,50,Female,Married,3,Life Sciences,3,Research & Development,Research Director,5,No,Travel_Frequently,1,Yes,2,73,1115,9755,18172,19,0,1,3,2,1,3,28,8,3,0,7,3,1
142,25,Male,Single,3,Marketing,3,Sales,Sales Executive,2,Yes,Travel_Rarely,5,Yes,3,46,240,26959,5744,11,0,3,2,3,4,3,6,6,4,0,3,1,1
143,25,Male,Married,1,Medical,1,Research & Development,Research Scientist,1,No,Travel_Rarely,7,No,3,64,1280,26897,2889,11,2,4,2,4,3,3,2,2,2,2,1,1,2
144,22,Female,Single,3,Medical,3,Research & Development,Laboratory Technician,1,No,Travel_Rarely,15,No,3,59,534,23785,2871,15,0,2,3,4,3,3,1,0,0,0,0,1,5
145,51,Female,Single,4,Medical,4,Research & Development,Healthcare Representative,3,No,Travel_Frequently,1,No,2,30,1456,25796,7484,20,0,1,2,1,3,4,23,13,12,12,8,3,1
147,34,Male,Single,3,Life Sciences,3,Research & Development,Laboratory Technician,2,Yes,Travel_Frequently,7,Yes,3,66,658,22887,6074,24,0,1,1,3,4,4,9,9,7,0,6,1,3
148,54,Female,Single,3,Human Resources,3,Human Resources,Manager,4,No,Non-Travel,26,Yes,3,30,142,13871,17328,12,0,4,4,4,3,3,23,5,3,4,4,2,3
150,24,Male,Married,1,Life Sciences,1,Research & Development,Laboratory Technician,1,No,Travel_Rarely,18,No,3,52,1127,13257,2774,12,1,2,3,3,3,3,6,5,3,1,2,0,2
151,34,Female,Divorced,4,Life Sciences,4,Research & Development,Research Scientist,2,No,Travel_Rarely,6,No,3,45,1031,15000,4505,15,1,3,2,2,3,3,12,1,0,0,0,6,3
152,37,Male,Single,3,Life Sciences,3,Sales,Sales Executive,3,No,Travel_Rarely,3,No,3,87,1189,14506,7428,12,0,3,3,4,1,3,12,5,3,1,3,2,3
153,34,Female,Single,3,Medical,3,Research & Development,Manager,3,No,Travel_Rarely,5,No,3,45,1354,5615,11631,12,0,3,2,1,4,3,14,11,10,5,8,2,6
154,36,Female,Married,2,Technical Degree,2,Sales,Sales Executive,3,No,Travel_Frequently,11,No,3,92,1467,22952,9738,14,1,2,3,4,3,3,10,9,7,2,8,0,6
155,36,Female,Divorced,2,Life Sciences,2,Research & Development,Laboratory Technician,1,No,Travel_Rarely,3,No,3,39,922,2561,2835,22,1,1,3,4,1,4,7,1,0,0,0,5,2
158,43,Male,Married,2,Life Sciences,2,Sales,Manager,4,No,Travel_Frequently,26,Yes,4,92,394,19494,16959,12,2,3,3,4,4,3,25,25,12,4,12,1,3
159,30,Male,Divorced,3,Life Sciences,3,Research & Development,Research Scientist,1,No,Travel_Frequently,23,No,2,96,1312,22310,2613,25,3,1,1,3,3,4,10,10,7,0,9,1,2
160,33,Male,Married,2,Marketing,2,Sales,Sales Executive,2,No,Non-Travel,22,No,4,95,750,15480,6146,13,1,3,3,2,1,3,8,7,7,0,7,0,2
161,56,Female,Married,4,Life Sciences,4,Research & Development,Research Scientist,1,Yes,Travel_Rarely,14,Yes,3,72,441,4510,4963,18,3,2,3,2,1,3,7,5,4,4,3,9,2
162,51,Male,Single,3,Life Sciences,3,Research & Development,Research Director,5,No,Travel_Rarely,6,No,3,51,684,6462,19537,13,0,1,3,3,3,3,23,20,18,15,15,7,5
163,31,Male,Married,4,Life Sciences,4,Sales,Sales Executive,2,Yes,Travel_Rarely,6,Yes,2,76,249,20739,6172,18,0,2,1,3,2,3,12,7,7,7,7,4,3
164,26,Female,Married,3,Other,3,Research & Development,Research Scientist,1,No,Travel_Rarely,6,No,2,46,841,23300,2368,19,0,3,2,2,3,3,5,5,4,4,3,1,3
165,58,Female,Married,4,Medical,4,Research & Development,Healthcare Representative,3,Yes,Travel_Rarely,23,No,2,94,147,3465,10312,12,1,4,3,4,4,3,40,40,10,15,6,1,3
167,19,Male,Single,1,Marketing,1,Sales,Sales Representative,1,Yes,Travel_Rarely,22,Yes,2,50,528,26820,1675,19,0,4,3,3,4,3,0,0,0,0,0,1,2
169,22,Male,Married,1,Technical Degree,1,Research & Development,Laboratory Technician,1,No,Travel_Rarely,2,No,3,100,594,19299,2523,14,1,3,3,4,3,3,3,2,1,2,1,0,2
170,49,Female,Married,4,Medical,4,Research & Development,Manufacturing Director,2,No,Travel_Rarely,20,No,2,96,470,5549,6567,14,0,3,3,1,3,3,16,15,11,5,11,1,2
171,43,Female,Single,3,Medical,3,Research & Development,Research Scientist,1,No,Travel_Frequently,28,No,3,72,957,16090,4739,12,0,2,4,3,4,3,18,3,2,1,2,4,2
174,50,Female,Single,3,Marketing,3,Sales,Sales Executive,3,No,Travel_Frequently,12,No,3,77,809,6645,9208,11,0,3,3,4,4,3,16,2,2,2,1,4,3
175,31,Female,Married,3,Life Sciences,3,Sales,Sales Executive,2,Yes,Travel_Rarely,20,Yes,3,71,542,24788,4559,11,1,2,1,3,3,3,4,2,2,2,2,3,2
176,41,Male,Divorced,1,Life Sciences,1,Sales,Sales Executive,3,No,Travel_Rarely,9,Yes,3,96,802,21196,8189,13,1,3,3,3,3,3,12,9,7,0,7,3,2
177,26,Female,Married,1,Life Sciences,1,Human Resources,Human Resources,1,No,Travel_Rarely,25,No,3,61,1355,8916,2942,23,1,3,3,3,4,4,8,8,7,5,7,1,3
178,36,Male,Divorced,2,Medical,2,Research & Development,Manufacturing Director,2,No,Travel_Rarely,6,No,3,84,216,2819,4941,20,2,2,3,2,4,4,7,3,2,0,1,6,0
179,51,Male,Single,4,Life Sciences,4,Research & Development,Manufacturing Director,3,Yes,Travel_Frequently,8,No,3,53,1150,25150,10650,15,0,1,1,4,4,3,18,4,2,0,3,2,2
182,39,Female,Married,4,Life Sciences,4,Sales,Sales Executive,2,No,Travel_Rarely,4,No,4,47,1329,14590,5902,14,1,4,2,3,3,3,17,15,11,5,9,4,1
183,25,Male,Married,3,Life Sciences,3,Sales,Sales Executive,2,No,Travel_Rarely,28,No,3,41,959,24835,8639,18,0,1,2,3,4,3,6,2,2,2,2,2,3
184,30,Male,Married,3,Human Resources,3,Human Resources,Human Resources,2,No,Travel_Rarely,9,Yes,1,48,1240,13982,6347,19,0,3,3,4,4,3,12,11,9,4,7,0,2
190,32,Female,Single,3,Medical,3,Research & Development,Laboratory Technician,1,Yes,Travel_Rarely,9,No,4,41,1033,10224,4200,22,0,1,3,1,1,4,10,5,4,0,4,7,2
192,45,Male,Single,3,Medical,3,Research & Development,Research Scientist,1,No,Travel_Rarely,29,No,2,83,1316,9752,3452,13,0,3,3,4,2,3,9,6,5,0,3,5,2
193,38,Female,Single,5,Technical Degree,5,Research & Development,Research Scientist,2,No,Travel_Rarely,3,Yes,3,32,364,2302,4317,20,0,4,3,3,2,4,19,3,2,2,2,3,2
194,30,Female,Single,3,Life Sciences,3,Research & Development,Research Scientist,1,No,Travel_Rarely,18,No,2,75,438,23910,2632,14,0,1,3,3,3,3,5,5,4,0,4,1,4
195,32,Male,Divorced,2,Medical,2,Sales,Sales Executive,2,No,Travel_Frequently,9,No,4,35,689,22812,4668,17,3,4,1,4,4,3,9,8,7,0,7,0,2
197,30,Female,Divorced,3,Technical Degree,3,Research & Development,Research Scientist,1,No,Travel_Rarely,5,No,3,84,201,10415,3204,14,1,4,3,1,4,3,8,3,2,2,2,5,3
198,30,Male,Single,1,Medical,1,Research & Development,Laboratory Technician,1,No,Travel_Rarely,2,No,3,35,1427,11162,2720,13,0,2,2,4,4,3,6,5,3,1,2,0,3
